steamId,name,Tags,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,Review Count,Review Score,Steam Followers
2951770,Leap Year,Adventure,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Retro,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Singleplayer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Indie,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Short,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Multiplayer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2477090,Mosa Lina,Co-op,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Multiplayer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Online Co-Op,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,2D Platformer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
