steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,review_count,review_score,followers,tags
2376580,TRIBE NINE,2025-02-19,199900,0.0,1393358.0,17,Indie,['Akatsuki Games Inc.'],['Akatsuki Games Inc.'],https://store.steampowered.com/app/2376580,4946,66,11955,"['2D', '3D', 'Action', 'Action RPG', 'Anime', 'Baseball', 'Cyberpunk', 'Dark', 'Dark Humor', 'Difficult', 'Fantasy', 'Free to Play', 'Gambling', 'JRPG', 'Pixel Graphics', 'PvE', 'RPG', 'Singleplayer', 'Souls-like', 'Story Rich']"
2378620,Anomaly Agent,2024-01-24,116139,11.99,575684.0,4,Indie,"['Phew Phew Games', 'GameDev.ist']",['Phew Phew Games'],https://store.steampowered.com/app/2378620,8762,95,18235,"['2D', '2D Fighter', '2D Platformer', 'Action RPG', 'Action Roguelike', 'Action-Adventure', 'Choices Matter', 'Controller', 'Conversation', 'Cyberpunk', 'Hack and Slash', 'Linear', 'Multiple Endings', 'Pixel Graphics', 'Platformer', 'Roguelike', 'Roguelite', 'Side Scroller', 'Souls-like', 'Story Rich']"
2379780,Balatro,2024-02-20,5431103,14.99,67657773.0,34,AA,['Playstack'],['LocalThunk'],https://store.steampowered.com/app/2379780,165640,98,96692,"['2D', 'Arcade', 'Card Battler', 'Card Game', 'Casual', 'Choices Matter', 'Deckbuilding', 'Difficult', 'Indie', 'Pixel Graphics', 'Procedural Generation', 'Relaxing', 'Replay Value', 'Roguelike', 'Roguelike Deckbuilder', 'Roguelite', 'Singleplayer', 'Strategy', 'Turn-Based', 'Turn-Based Strategy']"
2393160,Nice Day for Fishing,2025-05-29,64113,19.99,1141015.0,6,AA,['Team17'],['FusionPlay'],https://store.steampowered.com/app/2393160,1838,89,20079,"['2D', 'Action RPG', 'Action-Adventure', 'Adventure', 'Atmospheric', 'Colorful', 'Combat', 'Comedy', 'Crafting', 'Creature Collector', 'Fishing', 'Funny', 'Open World', 'Pixel Graphics', 'RPG', 'Side Scroller', 'Singleplayer', 'Story Rich']"
2398170,BORE BLASTERS,2024-03-08,31786,9.99,247149.0,7,Indie,['8BitSkull'],['8BitSkull'],https://store.steampowered.com/app/2398170,691,81,3424,"['2D', 'Action', 'Action Roguelike', 'Action-Adventure', 'Arcade', 'Casual', 'Collectathon', 'Dwarf', 'Exploration', 'Fantasy', 'Loot', 'Mining', 'Pixel Graphics', 'Procedural Generation', 'Roguelike', 'Roguelite', 'Score Attack', 'Singleplayer', 'Steampunk', 'Underground']"
2399160,Soulash 2,2023-12-04,49669,18.99,818109.0,22,Indie,['Artur Smiarowski'],['Artur Smiarowski'],https://store.steampowered.com/app/2399160,2118,86,14090,"['Base Building', 'Combat', 'Crafting', 'Dark Fantasy', 'Early Access', 'Economy', 'Exploration', 'Fantasy', 'Moddable', 'Open World', 'Perma Death', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Sandbox', 'Simulation', 'Singleplayer', 'Survival', 'Traditional Roguelike', 'Turn-Based Combat']"
2400430,Capcom Fighting Collection 2,2025-05-15,30596,39.99,1151284.0,13,AAA,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",https://store.steampowered.com/app/2400430,714,85,9003,"[""1990's"", '2D Fighter', '3D Fighter', 'Action', 'Arcade', 'Co-op', 'Fighting', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Pixel Graphics', 'Retro', 'Score Attack', 'Singleplayer']"
2400510,Dungeons & Degenerate Gamblers,2024-08-08,234123,14.99,2881624.0,6,Indie,['Yogscast Games'],['Purple Moss Collectors'],https://store.steampowered.com/app/2400510,2863,81,14155,"['2D', 'Capitalism', 'Card Battler', 'Card Game', 'Casual', 'Deckbuilding', 'Difficult', 'Fantasy', 'Gambling', 'Mouse only', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Replay Value', 'Roguelike', 'Roguelike Deckbuilder', 'Roguelite', 'Singleplayer', 'Strategy', 'Turn-Based']"
2400640,NanoApostle,2024-09-12,15205,19.99,228251.0,5,Indie,['PQube'],['18Light Game Ltd.'],https://store.steampowered.com/app/2400640,924,95,5478,"['2D', 'Action', 'Action RPG', 'Anime', 'Boss Rush', 'Bullet Hell', 'Combat', 'Dark', 'Dark Fantasy', 'Female Protagonist', 'Futuristic', 'Hack and Slash', 'Indie', 'Pixel Graphics', 'Robots', 'Sci-fi', 'Singleplayer', 'Souls-like', 'Spectacle fighter', 'Top-Down']"
2400770,Dungeon Tycoon,2024-09-25,70572,14.99,847560.0,6,Indie,"['Goblinz Publishing', 'Maple Whispering Limited']",['Lunheim Studios'],https://store.steampowered.com/app/2400770,1270,79,9273,"['Building', 'City Builder', 'Colorful', 'Cute', 'Dark Humor', 'Dungeon Crawler', 'Dungeons & Dragons', 'Economy', 'Fantasy', 'God Game', 'Management', 'Medieval', 'Pixel Graphics', 'Replay Value', 'Sandbox', 'Simulation', 'Singleplayer', 'Strategy', 'Tower Defense', 'Voxel']"
